gcp,aws,azure
TWN-Changhua,USA-Columbus,CHN-HongKong
CHN-HongKong,USA-Ashburn,SGP-Singapore
JPN-Tokyo,USA-SanFrancisco,USA-DesMoines
JPN-Osaka,USA-Portland,USA-BlueRidge
IND-Mumbai,CHN-HongKong,USA-Boydton
SGP-Singapore,IND-Mumbai,USA-SanFrancisco
AUS-Sydney,JPN-Osaka,USA-Chicago
FIN-Hamina,KOR-Seoul,USA-SanAntonio
BEL-StGhislain,SGP-Singapore,USA-Dublin
GBR-London,AUS-Sydney,NLD-Amsterdam
DEU-Frankfurt,JPN-Tokyo,JPN-Osaka
NLD-Eemshaven,CAN-Montreal,JPN-Tokyo
CHE-Zurich,CHN-Beijing,BRA-SaoPaulo
CAN-Montreal,CHN-Zhongwei,AUS-Sydney
BRA-SaoPaulo,DEU-Frankfurt,AUS-Melbourne
USA-CouncilBluffs,IRL-Dublin,IND-Pallavaram
USA-MoncksCorner,GBR-London,IND-Lohogaon
USA-Ashburn,FRA-Paris,IND-Mumbai
USA-TheDalles,SWE-Stockholm,CAN-Toronto
USA-LosAngeles,BRA-SaoPaulo,CAN-Quebec
,USA-Dublin,GBR-Midhurst
,USA-Seattle,GBR-Wallasey
,,USA-MountainView
,,USA-Quincy
,,KOR-Seoul
,,KOR-Busan
,,FRA-Huriel
,,FRA-Realmont
,,AUS-Forrest
,,ZAF-Pretoria
,,ZAF-WesternCape